1,10,11,18,32,38
2,10,11,16,26,28
3,05,09,19,28,34
4,04,09,21,30,35
5,07,12,21,30,32
6,01,03,08,11,26
7,01,11,12,19,30
8,01,04,15,22,30
9,08,22,25,35,36
10,07,12,21,28,37
11,13,16,21,25,34
12,11,20,27,33,37
13,03,06,14,19,38
14,09,11,12,32,38
15,01,03,17,20,38
16,06,07,11,23,36
17,08,18,31,33,34
18,01,04,06,07,37
19,05,19,23,31,38
20,13,23,27,33,37
21,08,10,18,38,39
22,08,23,27,29,35
23,03,14,23,28,29
24,06,12,15,27,39
25,02,03,10,16,28
26,09,11,25,31,36
27,03,06,14,17,20
28,07,17,19,33,34
29,21,23,29,31,34
30,07,08,21,22,34
31,07,09,13,24,30
32,04,10,17,29,38
33,09,13,18,23,25
34,02,06,19,26,34
35,07,14,20,21,37
36,09,10,13,15,34
37,08,17,25,29,30
38,03,07,08,24,28
39,03,05,17,25,29
40,01,02,03,06,26
41,19,24,25,27,31
42,15,17,21,26,34
43,02,06,13,17,37
44,08,14,15,21,33
45,05,09,22,24,31
46,03,08,13,28,30
47,03,15,17,20,23
48,03,08,23,26,35
49,04,18,21,25,32
50,18,19,24,33,37
51,05,11,12,15,32
52,02,03,05,12,36
53,04,09,13,14,27
54,02,19,24,29,35
55,16,17,35,38,39
56,07,15,21,23,24
57,02,14,21,34,38
58,10,17,26,32,34
59,28,32,35,36,38
60,07,09,15,25,39
61,04,27,37,38,39
62,04,18,26,31,39
63,01,02,12,19,38
64,05,09,20,22,32
65,05,23,33,36,37
66,05,10,13,25,30
67,03,05,07,15,37
68,06,08,14,26,35
69,12,15,28,33,34
70,08,16,28,29,38
71,02,17,25,32,33
72,14,17,18,36,37
73,01,16,18,21,26
74,05,07,21,26,39
75,05,11,27,34,38
76,03,09,17,27,30
77,03,10,12,17,24
78,03,15,35,36,37
79,01,04,09,29,35
80,03,08,23,26,29
81,05,07,21,29,38
82,01,07,12,20,34
83,15,18,25,30,33
84,03,05,19,21,27
85,02,11,24,25,30
86,21,25,26,31,33
87,03,26,30,33,39
88,04,06,08,12,26
89,06,10,29,32,36
90,06,07,10,32,39
91,03,13,30,35,38
92,01,14,31,37,38
93,07,12,17,18,34
94,02,09,14,15,26
95,02,08,10,14,17
96,04,07,14,21,36
97,15,16,19,22,37
98,02,11,15,17,31
99,09,10,12,24,34
100,20,25,28,29,34
101,13,31,33,34,35
102,06,10,11,31,39
103,06,18,21,27,37
104,04,06,08,17,30
105,03,20,21,26,30
106,05,09,23,31,37
107,03,13,18,34,35
108,02,20,21,25,26
109,07,21,23,24,27
110,14,18,25,30,38
111,01,15,22,27,38
112,05,13,21,22,39
113,09,13,14,18,21
114,01,02,08,32,36
115,02,15,16,24,30
116,03,18,21,24,27
117,04,24,33,37,39
118,02,20,28,32,37
119,01,17,19,25,38
120,23,32,33,35,36
121,28,29,32,34,35
122,03,09,19,30,35
123,01,15,16,20,25
124,02,06,19,25,27
125,07,15,21,28,34
126,06,08,16,17,33
127,16,18,25,28,39
128,13,15,23,25,37
129,01,18,21,31,35
130,05,11,12,25,26
131,06,12,13,30,39
132,12,14,31,34,35
133,02,06,09,22,39
134,11,14,22,24,34
135,06,09,12,26,39
136,17,19,23,26,32
137,02,09,22,33,38
138,15,20,24,34,36
139,04,17,23,29,38
140,05,14,19,25,30
141,12,13,20,22,36
142,09,16,21,27,34
143,04,18,24,27,34
144,01,17,26,30,35
145,01,08,24,36,39
146,04,07,27,31,34
147,13,30,36,37,38
148,06,08,12,14,38
149,08,16,24,26,32
150,01,16,22,34,38
151,04,06,17,31,32
152,04,08,10,19,31
153,13,23,27,33,37
154,06,11,16,17,24
155,02,10,14,29,39
156,03,16,19,32,33
157,05,10,14,28,35
158,01,19,27,33,37
159,01,03,18,19,26
160,13,15,17,25,27
161,10,16,24,35,39
162,08,10,13,15,37
163,07,08,10,14,37
164,02,05,16,22,34
165,13,15,22,26,29
166,07,16,28,35,39
167,08,23,29,30,34
168,06,19,25,27,37
169,04,20,30,34,35
170,17,22,24,31,37
171,10,20,22,28,31
172,03,07,13,28,32
173,05,12,18,30,36
174,06,07,09,13,35
175,02,12,19,28,35
176,12,14,25,37,38
177,06,12,16,24,29
178,03,12,21,25,39
179,01,17,18,35,37
180,05,17,25,30,36
181,04,05,09,18,19
182,01,05,13,16,36
183,24,25,34,37,39
184,01,07,14,21,35
185,19,23,24,33,34
186,02,18,24,26,30
187,03,05,17,24,26
188,13,15,24,33,36
189,11,17,23,27,35
